"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Design of Practical Information Multidimensional Integration System for Higher Vocational Ideological and Political Courses Facing Big Data","X. Ding","Suzhou Polytechnic Institute of Agriculture","2019 International Conference on Virtual Reality and Intelligent Systems (ICVRIS)","","2019","","","386","390","In view of the fact that the current information integration system can not quickly integrate a large number of chaotic practical information, this paper designs a multi-dimensional integration system of practical information for ideological and political courses in higher vocational colleges. The main control chip, TMS320C6748, is used to control the whole operation of the system. The physical server stores the information data and communicates with the serial port to transfer the data. Through the method of FPGA, the cluttered practical information data is filtered. According to the principle of Bayesian algorithm, the filtered information data is classified and the information data is preprocessed. In the SQL database, XML technology is used to parse and transform the pre-processed information and data. The data transformed into XML format is unified. According to the set multi-dimensional integration rules, data streams are split in the middle layer of the database and then merged is omorphically and heterogeneously. The data is loaded and stored in the integrated database, and finally the integration of information and data is completed. The design of multi-dimensional integration system is completed through hardware and software design. Comparing with the current information integration system, the experiment verifies the speed of information integration time of the designed multi-dimensional integration system. When integrating different amounts of practical information, the integration time of the designed multi-dimensional integration system is about one third of that of the current information integration system.","","978-1-7281-5050-5","10.1109/ICVRIS.2019.00100","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8920804","big data;higher vocational ideological and political course;multidimensional integration;system design","Databases;XML;Servers;Information filters;Big Data;Education","Big Data;computer aided instruction;data analysis;data mining;digital signal processing chips;educational courses;educational institutions;field programmable gate arrays;SQL;vocational training;XML","cluttered practical information data;filtered information data;pre-processed information;set multidimensional integration rules;data streams;integrated database;current information integration system;information integration time;designed multidimensional integration system;practical information multidimensional integration system;political courses facing big data;chaotic practical information","","","10","","","","","IEEE","IEEE Conferences"
"From DIKW pyramid to graph database: a tool for machine processing of nutritional epidemiologic research data","C. Yang; B. D. Baets; C. Lachat","Ghent University,Department of Food Technology, Safety, and Health,Ghent,Belgium; KERMIT, Department of Data Analysis and Mathematical Modelling Ghent University Ghent, Belgium; Ghent University,KERMIT,Ghent,Belgium","2019 IEEE International Conference on Big Data (Big Data)","","2019","","","5202","5205","There is an increased interest in the application of information technology to advance nutritional research. In nutrition science, a graph database enables the creation of multilateral logic relationships throughout the database, which can be used to electronically store, visualize, and scale the outputs of nutritional research. It provides a knowledge structure to standardize nutritional research outputs, which is both human- and machine-readable in a Resource Description Framework format. However, the development of various specific graph databases may cause difficulties for data integration and decrease human-readability. In this article, we propose an approach to develop a graph database according to the Data, Information, Knowledge, and Wisdom or “DIKW” pyramid for nutritional epidemiologic data. Then, authoritative ontologies are suggested to construct the nodes and edges of the graph database to facilitate data integration. Finally, the findability and re-usability of the knowledge in the graph database are showcased using the SPARQL and SQWRL query languages.","","978-1-7281-0858-2","10.1109/BigData47090.2019.9006469","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9006469","nutritional epidemiology;graph database;reporting guidelines;data integration;information query","Databases;Ontologies;Semantics;Diseases;Data integration;Guidelines;Standards","data integration;database management systems;graph theory;medical information systems;ontologies (artificial intelligence);query languages;query processing","graph database;nutrition science;nutritional research outputs;data integration;nutritional epidemiologic data;SQWRL query languages;SPARQL;ontologies;resource description framework","","","14","","","","","IEEE","IEEE Conferences"
"Data Integration and Fusion of Multi-source Vector Map","G. Li; Y. Gao; M. Zhang","Dept. of Autom., Harbin Eng. Univ., Harbin, China; Dept. of Autom., Harbin Eng. Univ., Harbin, China; Dept. of Autom., Harbin Eng. Univ., Harbin, China","2012 Fifth International Joint Conference on Computational Sciences and Optimization","","2012","","","779","782","To the ambiguous question of data from multi-souce sources vector map, the paper described the overall framework, content and methods of data integration and fusion. Data integration includes unification of spatial reference, spatial data model and semantic coding. The method of data integration includes data format conversion, data mutual operation and data direct accessing. Data format conversion method is chosen in this paper because it is easy and practical. A self-adaptive iterative algorithm of matching the same entity in fusion is proposed in this paper which is significant in improving reliability of data. Finally, this paper takes digital vector map and digital vector chart for example to integrate and fuse data and the result is discussed.","","978-1-4673-1365-0","10.1109/CSO.2012.175","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6274839","Vector Data;Multi-Source Map;Data Integration;Data Fusion","Vectors;Data models;Spatial databases;Semantics;Geographic information systems;Encoding","data integration;data models;information retrieval;iterative methods;reliability;sensor fusion","data integration;data fusion;multisource vector map;spatial reference;spatial data model;semantic coding;data mutual operation;data direct access;data format conversion method;self-adaptive iterative algorithm;data reliability;digital vector map;digital vector chart","","","6","","","","","IEEE","IEEE Conferences"
"Research on Wide-area Distributed Power Quality Data Fusion Technology of Power Grid","L. Jin; L. Haosong; X. Zhongping; W. Ting; W. Shuai; W. Yutong; H. Dongliang; K. Chunting; W. Jia; S. Dan","State Grid Beijing Sgitg Accenture Information Technology Center Co., Ltd., Beijing, China; State Grid Beijing Sgitg Accenture Information Technology Center Co., Ltd., Beijing, China; State Grid Beijing Sgitg Accenture Information Technology Center Co., Ltd., Beijing, China; State Grid Beijing Sgitg Accenture Information Technology Center Co., Ltd., Beijing, China; State Grid Beijing Sgitg Accenture Information Technology Center Co., Ltd., Beijing, China; State Grid Beijing Sgitg Accenture Information Technology Center Co., Ltd., Beijing, China; State Grid Beijing Sgitg Accenture Information Technology Center Co., Ltd., Beijing, China; State Grid Beijing Sgitg Accenture Information Technology Center Co., Ltd., Beijing, China; State Grid State Grid Jibei Electric Power Co.,Ltd., Beijing, China; State Grid State Grid Jibei Electric Power Co.,Ltd., Beijing, China","2019 IEEE 4th International Conference on Cloud Computing and Big Data Analysis (ICCCBDA)","","2019","","","185","188","With the advancement of the ""big operation"" system construction, the online monitoring system for power quality has been integrated, and various power quality data have been incorporated into relevant organizations for unified management. Power quality management has a larger range of data, more types, and higher frequency. It needs to realize the unified storage management and efficient access of massive heterogeneous power quality data for the characteristics of data applications and the collection and aggregation of these effective data. This paper proposes a new type of grid wide-area distributed power quality data integration architecture, which is designed for multi-source, heterogeneous, distributed data integration technology and wide-area distributed data storage technology to solve the big data source problem and realize the sharing of power quality data information of the whole network.","","978-1-7281-1410-1","10.1109/ICCCBDA.2019.8725668","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8725668","Power Quality;Wide Area Distribution;Data Integration","Power quality;Data integration;Distributed databases;Monitoring;Power grids;Computer architecture;Data models","Big Data;data handling;data integration;data integrity;power engineering computing;power grids;power supply quality;power system measurement;sensor fusion;storage management","grid wide-area distributed power quality data integration architecture;heterogeneous distributed data integration technology;big data source problem;power quality data information;wide-area distributed power quality data fusion technology;power grid;big operation system construction;power quality management;data applications;storage management;power quality data","","","10","","","","","IEEE","IEEE Conferences"
"A Survey on Big Data Pre-processing","Z. Guan; T. Ji; X. Qian; Y. Ma; X. Hong","Sch. of Mech. Electron. & Inf. Eng., China Univ. of Min. & Technol., Beijing, China; Sch. of Mech. Electron. & Inf. Eng., China Univ. of Min. & Technol., Beijing, China; Sch. of Mech. Electron. & Inf. Eng., China Univ. of Min. & Technol., Beijing, China; Sch. of Mech. Electron. & Inf. Eng., China Univ. of Min. & Technol., Beijing, China; Inst. of Comput. Technol., Beijing, China","2017 5th Intl Conf on Applied Computing and Information Technology/4th Intl Conf on Computational Science/Intelligence and Applied Informatics/2nd Intl Conf on Big Data, Cloud Computing, Data Science (ACIT-CSII-BCD)","","2017","","","241","247","In this paper, we briefly introduce some basic concepts and characteristics of big data. We are surrounded by massive amount of data but starving for knowledge. In the era of Big Data, how to quickly obtain high-quality and valuable information from massive amounts of data has become an important research direction. Hence, we focus our attention to the data pre-processing which is a sub-content of the data processing workflow. In this paper, the four phases of data pre-processing, including data cleansing, data integration, data reduction, and data transformation, have been discussed. And different approaches for a variety of purposes have been presented, which show current methods and techniques need to be further modified in order to improve the quality of data before data analysis.","","978-1-5386-3302-1","10.1109/ACIT-CSII-BCD.2017.49","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8787092","big data processing;data pre-processing;data cleansing;dimension reduction;data quality","Big Data;Data integration;Data analysis;Dimensionality reduction;Feature extraction;Data integrity","Big Data;data analysis;data integration;data reduction","Big Data pre-processing;data processing workflow;data integration;data reduction;data transformation;data analysis;data cleansing","","1","82","","","","","IEEE","IEEE Conferences"
"Data integration of cloud-based and relational databases","S. Malhotra; M. N. Doja; B. Alam; M. Alam","Department of Computer Engineering, Department of Computer Science, Jamia Millia Islamia University New Delhi, India; Department of Computer Engineering, Department of Computer Science, Jamia Millia Islamia University New Delhi, India; Department of Computer Engineering, Department of Computer Science, Jamia Millia Islamia University New Delhi, India; Department of Computer Engineering, Department of Computer Science, Jamia Millia Islamia University New Delhi, India","2015 International Conference on Soft Computing Techniques and Implementations (ICSCTI)","","2015","","","83","86","Today managing data is very critical for all kind of users. Some users use Cloud Database Services for managing their data but at the same time for the security reasons they want to keep some crucial private data at their own end so they face problem like how to integrate both kind of data one located at Local RDBMS and the other at Cloud repositories. In this paper we have analyzed that Hadoop can be used to solve such kind of problems. Hadoop platform is used to integrate data one is located at the Cloud databases and the other located at the Local RDBMS. Hadoop components not only process huge amount of data but with the help of inbuilt security mechanisms one can also securely store their data.","","978-1-4673-6792-9","10.1109/ICSCTI.2015.7489542","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7489542","Cloud Databas;Sqoop;HIVE;CDBMS;Hadoop;Data Integration","Databases;Cloud computing;Data integration;Security;Computer architecture;Yarn","cloud computing;data integration;relational databases;security of data","data integration;relational databases;cloud database services;data security;local RDBMS;cloud repositories;Hadoop platform","","1","10","","","","","IEEE","IEEE Conferences"
"Near Real-Time Big-Data Processing for Data Driven Applications","J. Kampars; J. Grabis","Inst. of Inf. Technol., Riga Tech. Univ., Riga, Latvia; Inst. of Inf. Technol., Riga Tech. Univ., Riga, Latvia","2017 International Conference on Big Data Innovations and Applications (Innovate-Data)","","2017","","","35","42","This paper addresses the context data integration and processing problem for design of data driven application by introducing ASAPCS (Auto-scaling and Adjustment Platform for Cloud-based Systems) platform. Conceptual model, technical architecture and data integration process are described. The ASAPCS platform supports model-driven configuration, separation of context acquisition and application, utilization of various context processing algorithms and scalability. It is based on technologies that have proven to work well with big data and each part of it is horizontally scalable. ASAPCs integrates data from heterogeneous sources and aggregates raw context data and uses it to perform real-time adjustments in the data-driven application. Its application is illustrated with example of providing data store resilience.","","978-1-5386-0960-6","10.1109/Innovate-Data.2017.11","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8316297","stream processing;big data;cloud computing;data-driven systems","Context modeling;Real-time systems;Cognition;Adaptation models;Sparks;Data integration;Data models","Big Data;cloud computing;data integration;ubiquitous computing","data store resilience;context data integration;conceptual model;technical architecture;ASAPCS platform;context acquisition;context processing algorithms;heterogeneous sources;Big-data processing;raw context data aggregation;autoscaling and adjustment platform for cloud-based systems;model-driven configuration","","1","17","","","","","IEEE","IEEE Conferences"
"Model for cost evaluation of OSS data integration","N. Take; M. Nishio","NTT Network Service Systems Laboratories, 3-9-11, Midori-Cho, Musashino-Shi, Tokyo, 180-8585 Japan; NTT Network Service Systems Laboratories, 3-9-11, Midori-Cho, Musashino-Shi, Tokyo, 180-8585 Japan","The 16th Asia-Pacific Network Operations and Management Symposium","","2014","","","1","4","As a result of the rapid development in operation support systems (OSSs), OSS development costs have increased due to the separate development of individual systems, and maintenance costs have also risen due to the complex architecture of the entire system. To solve this problem, we previously proposed OSS data integration, which is an approach to integrate data among systems to reduce the cost of OSS development. To quantify the effect of data integration, we propose a model for cost evaluation focusing on software size as a metric based on an OSS software model and software size estimation method.","","978-4-88552-288-8","10.1109/APNOMS.2014.6996536","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6996536","operation support systems;data integration;quantitative evaluation;cost model;software size;software reuse;function point;COSMIC-FFP","Data integration;Data models;Computer architecture;Software reusability;Databases;Size measurement","data integration;software maintenance;software metrics;telecommunication computing;telecommunication industry","cost evaluation model;OSS data integration;operation support system development;OSS development costs;system development;maintenance costs;complex system architecture;cost evaluation;software size;software metric;OSS software model;software size estimation method","","","13","","","","","IEEE","IEEE Conferences"
"Architectural requirements for regional library & information service system: An approach to data integration in cloud","B. Zhou; W. Liu","Hechi University, Yizhou City, Guangxi, China; Hechi University, Yizhou City, Guangxi, China","Proceedings of 2013 3rd International Conference on Computer Science and Network Technology","","2013","","","454","457","Under the real information environment, because the time or department to develop information system is different, there are always many heterogeneous information systems run at the different software and hardware platforms which are executed simultaneously. The separate and closed data source in the system makes data hard to be communicated, shared and fused among the systems. Data integration using traditional methods, which is to integrate and to exchange data among data sources according to operation system or database, will cost much time and money to deal with complexity and to keep business being operated. An approach to data integration in cloud the paper proposes uses service features of cloud computing and supports data sharing in many application fields. It is independent of all databases and data sources and it is characteristic of remote storage and dynamic data integration of data sources.","","978-1-4799-0561-4","10.1109/ICCSNT.2013.6967152","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6967152","data integration;cloud computing;information;database","Data integration;Libraries;Databases;Data models;Business;Visualization","cloud computing;data integration;information systems;software architecture;software libraries","cloud computing;data integration;information service system;regional library;architectural requirements","","1","12","","","","","IEEE","IEEE Conferences"
"Data Integration in ETL Using TALEND","S. J; I. J. V; N. S; C. P. I; G. P. RM","Sri Eshwar College of Engineering,Department of Computer Science and Engineering,Coimbatore,India; Sri Eshwar College of Engineering,Department of Computer Science and Engineering,Coimbatore,India; Sri Eshwar College of Engineering,Department of Computer Science and Engineering,Coimbatore,India; Sri Eshwar College of Engineering,Department of Computer Science and Engineering,Coimbatore,India; Sri Eshwar College of Engineering,Department of Computer Science and Engineering,Coimbatore,India","2020 6th International Conference on Advanced Computing and Communication Systems (ICACCS)","","2020","","","1444","1448","Data Integration is the process of combining data from different sources to support Data Analytics in organizations. The best definition of data integration is given by IBM, stating “Data Integration is the combination of technical processes and business processes used to combine data from disparate sources into valuable and meaningful information.” The important terms here are “combine data... into valuable and meaningful data” where it's about making the data more organized and useful. There are various methods of combining data into an integrated view. This paper describes the various steps involved in integrating data from various sources using the ETL process - The Extract, Transform and Load process, how the Talend Open Studio acting as a Data Integration and ETL tool helps in transforming heterogeneous data into homogeneous data for easy analysis and how all the integrated data is stored in a Data Warehouse to provide Business Intelligence users with suitable data for easy analysis.","2575-7288","978-1-7281-5197-7","10.1109/ICACCS48705.2020.9074186","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9074186","Data Integration;ETL;Talend;Data Warehouse;Business Intelligence","Data warehouses;Data integration;Business intelligence;Databases;Data mining;Warehousing","business data processing;competitive intelligence;data analysis;data integration;data warehouses","business processes;technical processes;Talend Open Studio;extract transform and load process;ETL;business intelligence users;data warehouse;data analytics;data integration","","","6","","","","","IEEE","IEEE Conferences"
